subject,gender,age,education,income,dummyconf,dummyxprob,dummyyprob,trialn,vignette,conf,xprob,yprob,datetime
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,1,G5,1,10,90,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,2,L1,2,36,64,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,3,G2,3,49,51,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,4,L11,2,51,49,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,5,G11,1,25,75,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,6,L10,3,52,48,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,7,G1,2,42,58,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,8,L2,3,60,40,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,9,G9,2,31,69,2021-11-20 17:51:25.827805
p9rf35yz2z0,woman,45,12,80to100k,2,39,61,10,L5,1,17,83,2021-11-20 17:51:25.827805
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,1,G2,2,49,51,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,2,L10,2,49,51,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,3,G1,2,43,57,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,4,L5,3,60,40,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,5,L2,2,41,59,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,6,G9,2,47,53,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,7,G11,2,53,47,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,8,G5,1,32,68,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,9,L11,2,49,51,2021-11-20 17:49:54.236923
hoqy35yzsbi,woman,45,32,60to80k,2,45,55,10,L1,1,23,77,2021-11-20 17:49:54.236923
ihww35yzx2r,woman,21,34,60to80k,3,40,60,1,L1,3,52,48,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,2,L5,2,38,62,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,3,G11,2,50,50,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,4,G9,3,54,46,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,5,G2,2,36,64,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,6,L10,2,54,46,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,7,L11,2,41,59,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,8,G1,3,60,40,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,9,G5,2,42,58,2021-11-20 17:52:08.575896
ihww35yzx2r,woman,21,34,60to80k,3,40,60,10,L2,1,25,75,2021-11-20 17:52:08.575896
